aminerKey,dblpKey,title
1074086,2551175,Query-sensitive mutual reinforcement chain and its application in query-oriented multi-document summarization.
415953,2193116,On the Decomposition of Join Dependencies.
191614,2193117,Finite Queries do not Have Effective Syntax.
1988908,2551179,Estimating topical context by diverging from external resources.
309122,2550229,Text filtering by boosting naive bayes classifiers.
818326,2550228,On redundancy of training corpus for text categorization: a perspective of geometry.
1879080,2550227,An IR-based evaluation framework for web search query segmentation.
348008,2550226,An Approach to Research in File Organization.
766439,2550225,Information retrieval using word senses: root sense tagging approach.
1598535,2550224,iMecho: a context-aware desktop search system.
818242,2550222,Controlling overlap in content-oriented XML retrieval.
1074211,2550221,On document splitting in passage detection.
632022,1435631,ReQueSS: Relational Querying of Semi-Structured Data.
2010392,1435633,On answering why-not questions in reverse skyline queries.
659996,1435632,Design and Evaluation of Alternative Selection Placement Strategies in Optimizing Continuous Queries.
1206712,1435635,"SpaceTwist: Managing the Trade-Offs Among Location Privacy, Query Performance, and Query Accuracy in Mobile Services."
1207000,1435634,Max Regional Aggregate over Sensor Networks.
1478755,2146819,A New Unification Method for Temporal Reasoning with Constraints.
283261,2146811,"Content-Based Retrieval from Medical Image Databases: A Synergy of Human Interaction, Machine Learning and Computer Vision."
1478605,2146815,A FrameWork and an Analysis of Current Proposals for the Case-Based Organization and Representation of Procedural Knowledge.
283142,2146814,Detecting Feature Interactions from Accuracies of Random Feature Subsets.
807400,2152540,Modeling the author bias between two on-line computer science citation databases.
1992211,2152541,Towards a classification framework for social machines.
844289,2071287,Adaptive Product Normalization: Using Online Learning for Record Linkage in Comparison Shopping.
1318609,2071286,VIF Regression: A Fast Regression Algorithm for Large Data.
1482225,2908929,Learning to rank relevant and novel documents through user feedback.
838441,2908928,Model-guided information discovery for intelligence analysis.
730055,2908925,Building XML statistics for the hidden web.
783560,2908924,Swoogle: a search and metadata engine for the semantic web.
1920042,2908927,AMADA: web data repositories in the amazon cloud.
1641940,2908921,Ranking-based processing of SQL queries.
838519,2908923,A formal characterization of PIVOT/UNPIVOT.
1919823,2908922,More than relevance: high utility query recommendation by mining users' search behaviors.
1598375,2551794,Predicting web searcher satisfaction with existing community-based answers.
54447,2551795,Intelligent Support for Interface Systems.
218984,2551796,Retrieving Spoken Documents by Combining Multiple Index Sources.
818260,2551797,The loquacious user: a document-independent source of terms for query expansion.
818202,2551790,Orthogonal locality preserving indexing.
879667,2551791,Refining hierarchical taxonomy structure via semi-supervised learning.
397222,2551792,Souvenir: flexible note-taking tool to pinpoint and share media highlights.
232658,2551793,QUILT: Implementing a Large-scale Cross-language Text Retrieval System.
1699632,2276430,Detecting Fraud in Health Insurance Data: Learning to Model Incomplete Benford's Law Distributions.
987404,2551799,Attention-based information retrieval.
879593,2549501,A framework to predict the quality of answers with non-textual features.
43195,1720528,Performance Analysis and Fundamental Performance Trade Offs for CLV Optical Disks.
1217162,1720529,Exploiting context analysis for combining multiple entity resolution systems.
301180,1720526,AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems.
346903,1720522,Files with Semantics.
58369,1720523,Redundancy in Spatial Databases.
346832,1720520,Evaluation of Database Access Paths.
1063509,1720521,Optimizing complex queries with multiple relation instances.
481431,1949077,Dual-Buffering Strategies in Object Bases.
993984,1949076,Searching on the Secondary Structure of Protein Sequences.
769431,2152849,A novel heterogeneous data integration approach for p2p semantic link network.
1016195,1949075,On The Marriage of Lp-norms and Edit Distance.
480147,1949074,Publish/Subscribe on the Web at Extreme Speed.
632033,1433989,SQLServer for Windows CE - A Database Engine for Mobile and Embedded Platforms.
987345,2551228,Finding similar experts.
1181322,2242603,Scalable OLAP and mining of information networks.
824751,1949072,XQuery Implementation in a Relational Database System.
993492,1949070,SIRIUS: A French Nationwide Project on Distributed Data Bases.
1598569,2549416,Elsevier SIGIR 2011 application challenge abstract.
1450875,2549417,A comparison of general vs personalised affective models for the prediction of topical relevance.
2010304,1434270,SODIT: An innovative system for outlier detection using multiple localized thresholding and interactive feedback.
397173,2549415,ICA and SOM in text document analysis.
309091,2549411,A novel method for the evaluation of Boolean query effectiveness across a wide operational range.
864500,1434278,Efficient Discovery of Emerging Frequent Patterns in ArbitraryWindows on Data Streams.
745525,1434279,Superimposed Applications using SPARCE.
1227607,2549419,Learning to rank for quantity consensus queries.
2014102,2887563,Saliency Aggregation: A Data-Driven Approach.
222639,2887562,Voronoi diagrams of polygons: A framework for shape representation.
2014364,2887567,Image Understanding from Experts' Eyes by Modeling Perceptual Skill of Diagnostic Reasoning Processes.
884078,2891078,"Local Features, All Grown Up."
1750265,2891071,"Bypassing synthesis: PLS for face recognition with pose, low-resolution and sketch."
501347,2866378,"Multiple Databases, Partial Reasoning, and Knowledge Discovery."
1390159,2866377,A Graph-Based Optimization Algorithm for Website Topology Using Interesting Association Rules.
1603762,2866376,An Efficient Pre-processing Method to Identify Logical Components from PDF Documents.
1274287,3131880,Search Strategies for the Task of Organic Chemical Synthesis.
501204,2866373,Interestingness of Discovered Association Rules in Terms of Neighborhood-Based Unexpectedness.
1874893,2866372,Relevant Feature Selection from EEG Signal for Mental Task Classification.
1390155,2866371,Predicting Protein Structural Class from Closed Protein Sequences.
1400154,2154259,Optimizing user interaction for web-based mobile tasks.
1502414,2894750,Linear Model Hashing and Batch RANSAC for Rapid and Accurate Object Recognition.
1884182,2894752,Robust object tracking via sparsity-based collaborative model.
1100082,2276041,Policy Gradient Critics.
1195895,3080858,On Automatic Plagiarism Detection Based on n-Grams Comparison.
956658,2154252,A probabilistic semantic approach for discovering web services.
1275158,3135655,Belief Update Revisited.
2014494,2889178,Fast Energy Minimization Using Learned State Filters.
883999,2889179,Edge Suppression by Gradient Field Transformation Using Cross-Projection Tensors.
1378794,2889176,OPTIMOL: automatic Online Picture collecTion via Incremental MOdel Learning.
1482250,2911811,FACeTOR: cost-driven exploration of faceted query results.
1289639,3135658,Active Cost-Sensitive Learning.
1826494,3132382,GUARDS - Innovative Application of Game Theory for National Airport Security.
1919829,2911817,Exploiting concept hierarchy for result diversification.
1289456,3132388,Unsupervised Learning of Semantic Relations between Concepts of a Molecular Biology Ontology.
1044448,2243267,Self-organizing strategies for a column-store database.
1268045,1700932,PLSI: The True Fisher Kernel and beyond.
1617331,1700931,Frequency-Aware Truncated Methods for Sparse Online Learning.
1617352,1700937,Fast Support Vector Machines for Structural Kernels.
1108915,1700936,Transferred Dimensionality Reduction.
565961,1700935,Neural Networks Design: Rough Set Approach to Continuous Data.
766480,2549509,Evaluation of filtering current news search results.
1250301,2146880,Branching Storylines in Virtual Reality Environments for Leadership Development.
479749,1948959,Architectural Issues of Transaction Management in Multi-Layered Systems.
1015274,1948958,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery.
1016146,1948953,False Positive or False Negative: Mining Frequent Itemsets from High Speed Transactional Data Streams.
893182,1948952,Advances in Memory Technology.
1015340,1948951,Integrated Data Management for Mobile Services in the Real World.
479931,1948950,Simple Random Sampling from Relational Databases.
279233,1948957,Deriving Production Rules for Incremental View Maintenance.
1015298,1948956,Staircase Join: Teach a Relational DBMS to Watch its (Axis) Steps.
1015339,1948955,XML Schemas in Oracle XML DB.
993482,1948954,SUBJECT: A Directory Driven System for Organizing and Accessing Large Statistical Databases
