aminerKey,title
2146885,Pathology on Game Trees: A Summary of Results.
2693980,Parallel Computation of RBF Kernels for Support Vector Classifiers.
2895407,Efficient Grouping under Perspective Skew.
2890498,On Solving 2D and 3D Puzzles Using Curve Matching.
2895408,FaceNet: A unified embedding for face recognition and clustering.
2152327,Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata.
2892751,Fast 2D border ownership assignment.
2243406,Contender: A Resource Modeling Approach for Concurrent Query Performance Prediction.
2243407,Spatial Data Server for Mobile Environment.
2910361,Separating-Plane Factorization Models: Scalable Recommendation from One-Class Implicit Feedback.
2910368,A Latent Semantic Model with Convolutional-Pooling Structure for Information Retrieval.
2910369,Location-Based Influence Maximization in Social Networks.
2276521,Improving SVM Text Classification Performance through Threshold Adjustment.
2896278,Delineating trees in noisy 2D images and 3D image-stacks.
2896275,Modeling the structure of multivariate manifolds: Shape maps.
1431384,Broadcasting Dependent Data for Ordered Queries without Replication in a Multi-Channel Mobile Environment.
2896181,On Computing Exact Visual Hulls of Solids Bounded by Smooth Surfaces.
2910093,A Retrievability Analysis: Exploring the Relationship Between Retrieval Bias and Retrieval Performance.
2896186,Robust image filtering using joint static and dynamic guidance.
2896185,Learning Gaussian Conditional Random Fields for Low-Level Vision.
2896184,Relief Mosaics by Joint View Triangulation.
2519554,Structured Doubly Stochastic Matrix for Graph Based Clustering: Structured Doubly Stochastic Matrix.
1852963,Mining the Web for Intelligent Problem Solving for Programmers.
2193257,Counting Answers to Existential Positive Queries: A Complexity Classification.
2193253,The (Almost) Complete Guide to Tree Pattern Containment.
2193258,Weaker forms of monotonicity for declarative networking: a more fine-grained answer to the calm-conjecture.
2909678,DePP: A System for Detecting Pages to Protect in Wikipedia.
2909671,Empowering Truth Discovery with Multi-Truth Prediction.
2907948,TweetMogaz v2: Identifying News Stories in Social Media.
2907949,Log-Bilinear Document Language Model for Ad-hoc Information Retrieval.
2907941,Supervised Feature Selection by Preserving Class Correlation.
2911945,Practical Aspects of Sensitivity in Online Experimentation with User Engagement Metrics.
2911941,Aggregation of Crowdsourced Ordinal Assessments and Integration with Learning to Rank: A Latent Trait Model.
2911940,TensorDB: In-Database Tensor Manipulation with Tensor-Relational Query Plans.
2893001,Planar Catadioptric Stereo: Geometry and Calibration.
2897584,Optimal Rigid Motion Estimation and Performance Evaluation with Bootstrap.
2893004,Labeling of curvilinear structure across scales by token grouping.
2893007,Properties of energy edge detectors.
2893354,Spherical Harmonics vs. Haar Wavelets: Basis for Recovering Illumination from Cast Shadows.
1700115,Automatically Mapped Transfer between Reinforcement Learning Tasks via Three-Way Restricted Boltzmann Machines.
1700114,ViperCharts: Visual Performance Evaluation Platform.
1700119,Topy: Real-Time Story Tracking via Social Tags.
2867762,Computing Hierarchical Summary of the Data Streams.
2155770,Extending an OO Method de Develop Web Applications.
2145676,On Vectorization of Deep Convolutional Neural Networks for Vision Tasks.
2145677,Probabilistic Graphical Models for Boosting Cardinal and Ordinal Peer Grading in MOOCs.
2145674,Solving Imperfect Information Games Using Decomposition.
2145675,Biologically-Inspired Control for Multi-Agent Self-Adaptive Tasks.
2145673,Solving Hard Stable Matching Problems via Local Search and Cooperative Parallelization.
2145671,Approaches to Knowledge Acquisition: The Instructable Production System Project.
2893810,Dense interest points.
2145678,Frame Selection in Parsing.
2145679,Finding All of the Solutions to a Problem.
2890062,Sequential Convex Relaxation for Mutual Information-Based Unsupervised Figure-Ground Segmentation.
2890060,User Assisted Modeling of Buildings from Aerial Images.
2890066,Adaptive generic learning for face recognition from a single sample per person.
2890067,Wide Area Camera Calibration Using Virtual Calibration Object.
2890068,Facial deblur inference to improve recognition of blurred fFaces.
3080936,Deep Learning to Predict Patient Future Diseases from the Electronic Health Records.
2891339,An efficient algorithm for compressed MR imaging using total variation and wavelets.
2154429,Conference Time-Table Management.
2517922,Data Mining and Model Simplicity: A Case Study in Diagnosis.
2143533,A Hidden Markov Model Approach to Infer Timescales for High-Resolution Climate Archives.
2143532,Cloning in Elections.
2143531,A Distributed Anytime Algorithm for Dynamic Task Allocation in Multi-Agent Systems.
2143537,Logical Foundations of Privacy-Preserving Publishing of Linked Data.
2143539,Stability and Incentive Compatibility in a Kernel-Based Combinatorial Auction.
2143538,Extracting Biomolecular Interactions Using Semantic Parsing of Biomedical Text.
2143734,A Robust Bayesian Truth Serum for Non-Binary Signals.
1721583,A Fast Randomized Algorithm for Multi-Objective Query Optimization.
1721587,"JECB: a join-extension, code-based approach to OLTP data partitioning."
2143289,Crowd Motion Monitoring with Thermodynamics-Inspired Feature.
2143285,An Agent-Based Model of the Emergence and Transmission of a Language System for the Expression of Logical Combinations.
2143286,Surveyor: A System for Generating Coherent Survey Articles for Scientific Topics.
1721050,Efficient Exploration of Product Spaces.
1721059,Stop-and-Stare: Optimal Sampling Algorithms for Viral Marketing in Billion-scale Networks.
2890988,Robot Localization using Uncalibrated Camera Invariants.
2141123,Problem Features that Influence the Design of Expert Systems.
2141120,Implementation of and Experiments with a Variable Precision Logic Inference System.
2141121,Multi-Label Learning with PRO Loss.
2144014,Cached Iterative Weakening for Optimal Multi-Way Number Partitioning.
2153705,Buffer Sharing for Proxy Caching of Streaming Sessions.
2153707,N-gram over Context.
2153706,An Application Framework for Delivering Multimedia-rich Virtual Learning Experiences through the Internet.
1720727,Data Cleaning: Overview and Emerging Challenges.
1720720,Discovering queries based on example tuples.
2140168,Epsilon-First Policies for Budget-Limited Multi-Armed Bandits.
2140166,Semantic Graph Construction for Weakly-Supervised Image Parsing.
1947840,Conceptual Modeling Using and Extended E-R Model (Abstract).
1722766,Oracle XML DB Repository.
1722764,On Improving User Response Times in Tableau.
1722763,Rethinking SIMD Vectorization for In-Memory Databases.
1722761,Sampling-Based Query Re-Optimization.
1722768,Design Tradeoffs of Data Access Methods.
1722769,Minimizing Efforts in Validating Crowd Answers.
1720894,TriAD: a distributed shared-nothing RDF engine based on asynchronous message passing.
1720893,Exploratory Keyword Search with Interactive Input.
2242106,Contextual Event Search: Finding Contextual Messages in Dynamic microblog Data Stream in Real Time.
2889774,A Unified Spatio-Temporal Articulated Model for Tracking.
2889775,KL divergence based agglomerative clustering for automated Vitiligo grading.
2889777,Camera stability problem and dynamic stereo vision.
1433393,Towards a parameter-free and parallel itemset mining algorithm in linearithmic time.
1722491,Query Planning for Evaluating SPARQL Property Paths.
1722493,STARTS: Stanford Proposal for Internet Meta-Searching (Experience Paper).
1722494,Telco Churn Prediction with Big Data.
1722497,FlowBack: Providing Backward Recovery for Workflow Systems.
2072755,Bayesian Heteroskedastic Choice Modeling on Non-identically Distributed Linkages.
1432886,Private search on key-value stores with hierarchical indexes.
2146238,Design and Optimization of an Omnidirectional Humanoid Walk: A Winning Approach at the RoboCup 2011 3D Simulation Competition.
2146232,Multi-Agent Path Finding on Strongly Biconnected Digraphs.
2550852,INSYDER - an information assistant for business intelligence.
2892515,On Projective Reconstruction in Arbitrary Dimensions.
2892516,Feature matching for building extraction from multiple views.
2892518,Practical edge finding with a robust estimator.
2892519,Unsupervised discovery of visual object class hierarchies.
2908706,Influence Maximization over Large-Scale Social Networks: A Bounded Linear Approach.
2908701,BIGtensor: Mining Billion-Scale Tensor Made Easy.
2908703,Geotagging Named Entities in News and Online Documents.
2073405,A Probabilistic Behavior Model for Discovering Unrecognized Knowledge.
2242817,Group Recommendation with Temporal Affinities.
2242813,A Data Mining Approach to Choosing Categorical Attributes for Ranked Lists.
3133360,For an Incremental Computation of Intrasentential Coreference.
2519712,City-Scale Map Creation and Updating using GPS Collections.
2519713,Growing Simpler Decision Trees to Facilitate Knowledge Discovery.
3136624,Comparative Analysis of STructurally Different Dynamical Systems.
3136625,Heroic versus Collaborative AI for the Arts.
2193093,Vertex and Hyperedge Connectivity in Dynamic Graph Streams.
2193098,Expressive languages for querying the semantic web.
2909074,Reuse-based Optimization for Pig Latin.
2909075,A Soft Computing Approach for Learning to Aggregate Rankings.
2909077,Generative Feature Language Models for Mining Implicit Features from Customer Reviews.
1434849,Collecting and Maintaining Just-in-Time Statistics.
2897032,Small-variance nonparametric clustering on the hypersphere.
1721159,Descriptive and prescriptive data cleaning.
2140553,A Scalable Tree-Based Approach for Joint Object and Pose Recognition.
2518449,A Non-parametric Approach to Detect Epileptogenic Lesions using Restricted Boltzmann Machines.
2518446,Matching users and items across domains to improve the recommendation quality.
2518445,"Jointly modeling aspects, ratings and sentiments for movie recommendation (JMARS)."
2518443,Predicting Serves in Tennis using Style Priors.
2518440,Large-scale high-precision topic modeling on twitter.
2518361,Modeling mass protest adoption in social network communities using geometric brownian motion.
2140559,Robot Team Exploration with Communication Restrictions.
2518195,Community detection in graphs through correlation.
2518197,Skinny-dip: Clustering in a Sea of Noise.
1700469,Fast Gaussian Pairwise Constrained Spectral Clustering.
1700464,Flexible Sliding Windows for Kernel Regression Based Bus Arrival Time Prediction.
1700466,Coupled Hierarchical Dirichlet Process Mixtures for Simultaneous Clustering and Topic Modeling.
