2015,881,PKDD,0
2015,2551,KDD,250
2015,208,VLDBJ.,1
2015,1791,ECIR,100
2015,2852,SIGIR,200
2015,331,EDBT,62
2015,2235,SIGMODConference,166
2015,1229,VLDB,0
2015,462,PVLDB,0
2015,3527,ICDM,297
2015,259,AAAI,677
2015,3155,ICDE,314
2015,166,PAKDD,114
2015,1712,SDM,105
2015,1041,ECML/PKDD,0
2015,947,ECML,0
2015,2981,IJCAI,254
2015,2789,CIKM,248
2015,1584,WWW,471
2015,1402,PODS,29
2015,1677,CVPR,890
2015,1764,WSDM,62
2014,881,PKDD,0
2014,2551,KDD,219
2014,208,VLDBJ.,0
2014,1791,ECIR,103
2014,2852,SIGIR,229
2014,331,EDBT,80
2014,2235,SIGMODConference,164
2014,1229,VLDB,0
2014,462,PVLDB,0
2014,3527,ICDM,263
2014,259,AAAI,475
2014,3155,ICDE,109
2014,166,PAKDD,100
2014,1712,SDM,118
2014,1041,ECML/PKDD,0
2014,947,ECML,0
2014,2981,IJCAI,0
2014,2789,CIKM,271
2014,1584,WWW,421
2014,1402,PODS,25
2014,1677,CVPR,870
2014,1764,WSDM,78
2011,881,PKDD,0
2011,2551,KDD,174
2011,208,VLDBJ.,2
2011,1791,ECIR,93
2011,2852,SIGIR,235
2011,331,EDBT,55
2011,2235,SIGMODConference,141
2011,1229,VLDB,0
2011,462,PVLDB,0
2011,3527,ICDM,148
2011,259,AAAI,321
2011,3155,ICDE,118
2011,166,PAKDD,86
2011,1712,SDM,87
2011,1041,ECML/PKDD,0
2011,947,ECML,0
2011,2981,IJCAI,665
2011,2789,CIKM,429
2011,1584,WWW,248
2011,1402,PODS,28
2011,1677,CVPR,300
2011,1764,WSDM,90
2010,881,PKDD,0
2010,2551,KDD,124
2010,208,VLDBJ.,0
2010,1791,ECIR,75
2010,2852,SIGIR,218
2010,331,EDBT,69
2010,2235,SIGMODConference,140
2010,1229,VLDB,0
2010,462,PVLDB,0
2010,3527,ICDM,175
2010,259,AAAI,312
2010,3155,ICDE,127
2010,166,PAKDD,95
2010,1712,SDM,79
2010,1041,ECML/PKDD,0
2010,947,ECML,0
2010,2981,IJCAI,0
2010,2789,CIKM,321
2010,1584,WWW,241
2010,1402,PODS,31
2010,1677,CVPR,326
2010,1764,WSDM,45
2013,881,PKDD,0
2013,2551,KDD,197
2013,208,VLDBJ.,1
2013,1791,ECIR,109
2013,2852,SIGIR,212
2013,331,EDBT,78
2013,2235,SIGMODConference,149
2013,1229,VLDB,0
2013,462,PVLDB,0
2013,3527,ICDM,151
2013,259,AAAI,300
2013,3155,ICDE,115
2013,166,PAKDD,95
2013,1712,SDM,90
2013,1041,ECML/PKDD,0
2013,947,ECML,0
2013,2981,IJCAI,638
2013,2789,CIKM,378
2013,1584,WWW,449
2013,1402,PODS,27
2013,1677,CVPR,350
2013,1764,WSDM,96
2012,881,PKDD,0
2012,2551,KDD,201
2012,208,VLDBJ.,1
2012,1791,ECIR,72
2012,2852,SIGIR,225
2012,331,EDBT,70
2012,2235,SIGMODConference,110
2012,1229,VLDB,0
2012,462,PVLDB,0
2012,3527,ICDM,142
2012,259,AAAI,351
2012,3155,ICDE,127
2012,166,PAKDD,86
2012,1712,SDM,96
2012,1041,ECML/PKDD,0
2012,947,ECML,0
2012,2981,IJCAI,0
2012,2789,CIKM,448
2012,1584,WWW,381
2012,1402,PODS,29
2012,1677,CVPR,333
2012,1764,WSDM,84
1991,881,PKDD,0
1991,2551,KDD,0
1991,208,VLDBJ.,0
1991,1791,ECIR,0
1991,2852,SIGIR,35
1991,331,EDBT,0
1991,2235,SIGMODConference,48
1991,1229,VLDB,61
1991,462,PVLDB,0
1991,3527,ICDM,0
1991,259,AAAI,144
1991,3155,ICDE,60
1991,166,PAKDD,0
1991,1712,SDM,0
1991,1041,ECML/PKDD,0
1991,947,ECML,0
1991,2981,IJCAI,276
1991,2789,CIKM,0
1991,1584,WWW,0
1991,1402,PODS,30
1991,1677,CVPR,108
1991,1764,WSDM,0
1990,881,PKDD,0
1990,2551,KDD,0
1990,208,VLDBJ.,0
1990,1791,ECIR,0
1990,2852,SIGIR,28
1990,331,EDBT,27
1990,2235,SIGMODConference,47
1990,1229,VLDB,59
1990,462,PVLDB,0
1990,3527,ICDM,0
1990,259,AAAI,173
1990,3155,ICDE,52
1990,166,PAKDD,0
1990,1712,SDM,0
1990,1041,ECML/PKDD,0
1990,947,ECML,0
1990,2981,IJCAI,0
1990,2789,CIKM,0
1990,1584,WWW,0
1990,1402,PODS,36
1990,1677,CVPR,0
1990,1764,WSDM,0
1993,881,PKDD,0
