Proactive Transfer Learning for Heterogeneous Feature and Label Spaces.,2016,ECML/PKDD (2)
Kernel Principal Geodesic Analysis.,2014,ECML/PKDD (1)
Learning Decision Trees for Unbalanced Data.,2008,ECML/PKDD (1)
Graph Evolution via Social Diffusion Processes.,2011,ECML/PKDD (2)
Mining Queries.,2007,ECML/PKDD
Heteroscedastic Probabilistic Linear Discriminant Analysis with Semi-supervised Extension.,2009,ECML/PKDD (2)
Multi-target Regression via Random Linear Target Combinations.,2014,ECML/PKDD (3)
Score-Based Bayesian Skill Learning.,2012,ECML/PKDD (1)
"Support Vector Machines, Data Reduction, and Approximate Kernel Matrices.",2008,ECML/PKDD (2)
"Autonomous HVAC Control, A Reinforcement Learning Approach.",2015,ECML/PKDD (3)
Autonomous Visualization.,2006,PKDD
Smart Cities: How Data Mining and Optimization Can Shape Future Cities.,2011,ECML/PKDD (1)
Large Margin vs. Large Volume in Transductive Learning.,2008,ECML/PKDD (1)
A Fast Method of Statistical Assessment for Combinatorial Hypotheses Based on Frequent Itemset Enumeration.,2014,ECML/PKDD (2)
On Detecting Clustered Anomalies Using SCiForest.,2010,ECML/PKDD (2)
Understanding Where Your Classifier Does (Not) Work.,2015,ECML/PKDD (3)
Data Privacy.,2004,PKDD
Observational Logic Integrates Data Mining Based on Statistics and Neural Networks.,2000,PKDD
Mining All Non-derivable Frequent Itemsets.,2002,PKDD
An Entropy-Based Approach for Generating Multi-dimensional Sequential Patterns.,2005,PKDD
"Scalable, High-Performance Data Mining with Parallel Processing.",1998,PKDD
ExAnte: Anticipated Data Reduction in Constrained Pattern Mining.,2003,PKDD
A Bi-clustering Framework for Categorical Data.,2005,PKDD
Fairness-Aware Classifier with Prejudice Remover Regularizer.,2012,ECML/PKDD (2)
CHADE: Metalearning with Classifier Chains for Dynamic Combination of Classifiers.,2016,ECML/PKDD (1)
Multi-view Semantic Learning for Data Representation.,2015,ECML/PKDD (1)
Estimating Potential Customers Anywhere and Anytime Based on Location-Based Social Networks.,2015,ECML/PKDD (2)
Solving Prediction Games with Parallel Batch Gradient Descent.,2015,ECML/PKDD (1)
Learning from Little: Comparison of Classifiers Given Little Training.,2004,PKDD
Transfer Spectral Clustering.,2012,ECML/PKDD (2)
Orange: From Experimental Machine Learning to Interactive Data Mining.,2004,PKDD
Fuzzy Spatial OQL for Fuzzy Knowledge Discovery in Databases.,1998,PKDD
Clustering Distributed Sensor Data Streams.,2008,ECML/PKDD (2)
Boot-Strapping Language Identifiers for Short Colloquial Postings.,2013,ECML/PKDD (2)
For Visualization-Based Analysis Tools in Knowledge Discovery Process: A Multilayer Perceptron versus Principal Components Analysis: A Comparative Study.,1998,PKDD
Combining Tag Recommendations Based on User History.,2009,DC@PKDD/ECML
Boosting for Unsupervised Domain Adaptation.,2013,ECML/PKDD (2)
Invariant Time-Series Classification.,2012,ECML/PKDD (2)
Knowledge Transfer for Multi-labeler Active Learning.,2013,ECML/PKDD (1)
Finding Similar Time Series.,1997,PKDD
Querying Inductive Databases: A Case Study on the MINE RULE Operator.,1998,PKDD
Improving the Performance of the RISE Algorithm.,2004,PKDD
Aggregating Crowdsourced Ordinal Labels via Bayesian Clustering.,2016,ECML/PKDD (1)
Tag Recommendations in Folksonomies.,2007,PKDD
Leveraging Spatial Abstraction in Traffic Analysis and Forecasting with Visual Analytics.,2016,ECML/PKDD (3)
Bi-directional Joint Inference for Entity Resolution and Segmentation Using Imperatively-Defined Factor Graphs.,2009,ECML/PKDD (2)
SkyGraph: An Algorithm for Important Subgraph Discovery in Relational Graphs.,2008,ECML/PKDD (1)
Fast Label Embeddings via Randomized Linear Algebra.,2015,ECML/PKDD (1)
Towards Computation of Novel Ideas from Corpora of Scientific Text.,2015,ECML/PKDD (2)
MultiNets: Web-Based Multilayer Network Visualization.,2015,ECML/PKDD (3)
Learning Multi-linear Representations of Distributions for Efficient Inference.,2009,ECML/PKDD (1)
Fast and Memory-Efficient Discovery of the Top-k Relevant Subgroups in a Reduced Candidate Space.,2011,ECML/PKDD (1)
Gamma Process Poisson Factorization for Joint Modeling of Network and Documents.,2015,ECML/PKDD (1)
When Efficient Model Averaging Out-Performs Boosting and Bagging.,2006,PKDD
Differentiating Code from Data in x86 Binaries.,2011,ECML/PKDD (3)
Sequential Labeling with Online Deep Learning: Exploring Model Initialization.,2016,ECML/PKDD (2)
Discovering Unexpected Information for Technology Watch.,2004,PKDD
Communication-Efficient Distributed Online Learning with Kernels.,2016,ECML/PKDD (2)
A New Algorithm for Faster Mining of Generalized Association Rules.,1998,PKDD
A Tutorial Introduction to High Performance Data Mining (Abstract).,1997,PKDD
GMRF Estimation under Topological and Spectral Constraints.,2014,ECML/PKDD (2)
MIL: Automatic Metaphor Identification by Statistical Learning.,2015,DMNLP@PKDD/ECML
Client-Friendly Classification over Random Hyperplane Hashes.,2008,ECML/PKDD (2)
Protein Sequence Pattern Mining with Constraints.,2005,PKDD
Permutation Structure in 0-1 Data.,2011,ECML/PKDD (1)
Hybrid Technique for Artificial Neural Network Architecture and Weight Optimization.,2005,PKDD
Explaining Predictions from a Neural Network Ensemble One at a Time.,2002,PKDD
"Discovery of Temporal Knowledge in Medical Time-Series Databases Using Moving Average, Multiscale Matching, and Rule Induction.",2001,PKDD
A Divise Initialisation Method for Clustering Algorithms.,1999,PKDD
Integer Bayesian Network Classifiers.,2014,ECML/PKDD (3)
Ranking Interesting Subspaces for Clustering High Dimensional Data.,2003,PKDD
APRIL: Active Preference Learning-Based Reinforcement Learning.,2012,ECML/PKDD (2)
Integrating Pattern Mining in Relational Databases.,2006,PKDD
Classifying Protein Fingerprints.,2004,PKDD
Sign Constrained Rectifier Networks with Applications to Pattern Decompositions.,2015,ECML/PKDD (1)
Using a Hash-Based Method for Apriori-Based Graph Mining.,2004,PKDD
Mining History of Changes to Web Access Patterns.,2004,PKDD
Randomized Operating Point Selection in Adversarial Classification.,2014,ECML/PKDD (2)
Enhancing Rule Interestingness for Neuro-fuzzy Systems.,1999,PKDD
ProbLog2: Probabilistic Logic Programming.,2015,ECML/PKDD (3)
Neuro-fuzzy Data Mining for Target Group Selection in Retail Banking.,1999,PKDD
Time Series Classification in Dissimilarity Spaces.,2015,AALTD@PKDD/ECML
Efficient Name Disambiguation for Large-Scale Databases.,2006,PKDD
INSIGHT: Dynamic Traffic Management Using Heterogeneous Urban Data.,2016,ECML/PKDD (3)
Fast kNN Graph Construction with Locality Sensitive Hashing.,2013,ECML/PKDD (2)
Learning from Multi-source Data.,2004,PKDD
Parallel Boosting with Momentum.,2013,ECML/PKDD (3)
Sparse Gaussian Processes for Multi-task Learning.,2012,ECML/PKDD (1)
Bootstrapping Monte Carlo Tree Search with an Imperfect Heuristic.,2012,ECML/PKDD (2)
HiDER: Query-Driven Entity Resolution for Historical Data.,2015,ECML/PKDD (3)
Density-Based Subspace Clustering in Heterogeneous Networks.,2014,ECML/PKDD (1)
A Practical Approach to Reduce the Learning Bias Under Covariate Shift.,2015,ECML/PKDD (2)
A Simple Algorithm for Topic Identification in 0-1 Data.,2003,PKDD
An Experimental Study of Partition Quality Indices in Clustering.,2000,PKDD
Dependency Detection in MobiMine and Random Matrices.,2002,PKDD
Speeding Up the Search for Optimal Partitions.,1999,PKDD
The Future of CiteSeer: CiteSeerx.,2006,PKDD
AUDIO: An IntegrityAuditing Framework ofOutlier-Mining-as-a-Service Systems.,2012,ECML/PKDD (2)
ShiftTree: An Interpretable Model-Based Approach for Time Series Classification.,2011,ECML/PKDD (2)
Semi-supervised Subspace Co-Projection for Multi-class Heterogeneous Domain Adaptation.,2015,ECML/PKDD (2)
Enriching Relational Learning with Fuzzy Predicates.,2003,PKDD
Gaussian Process Multi-task Learning Using Joint Feature Selection.,2014,ECML/PKDD (3)
Discovery of Health Risks and Case-Based Forecasting of Epidemics in a Health Surveillance System.,1997,PKDD
Finding Reliable Subgraphs from Large Probabilistic Graphs.,2008,ECML/PKDD (1)
Reachability Analysis and Modeling of Dynamic Event Networks.,2012,ECML/PKDD (1)
Drift Detection Using Stream Volatility.,2015,ECML/PKDD (1)
Semi-supervised Gaussian Process Ordinal Regression.,2013,ECML/PKDD (3)
A Tolerance Rough Set Approach to Clustering Web Search Results.,2004,PKDD
Semi-supervised Projection Clustering with Transferred Centroid Regularization.,2010,ECML/PKDD (3)
Geometry Preserving Multi-task Metric Learning.,2012,ECML/PKDD (1)
Classification Algorithms Based on Linear Combinations of Features.,1999,PKDD
"Fast, Effective Molecular Feature Mining by Local Optimization.",2010,ECML/PKDD (3)
Bridged Refinement for Transfer Learning.,2007,PKDD
"Realistic, Mathematically Tractable Graph Generation and Evolution, Using Kronecker Multiplication.",2005,PKDD
Sparse Unsupervised Dimensionality Reduction Algorithms.,2010,ECML/PKDD (1)
Mining Thick Skylines over Large Databases.,2004,PKDD
Software-Defect Localisation by Mining Dataflow-Enabled Call Graphs.,2010,ECML/PKDD (1)
Zoomed Ranking: Selection of Classification Algorithms Based on Relevant Performance Information.,2000,PKDD
Active and Semi-supervised Data Domain Description.,2009,ECML/PKDD (1)
Association Rules for Expressing Gradual Dependencies.,2002,PKDD
Representative Association Rules and Minimum Condition Maximum Consequence Association Rules.,1998,PKDD
Random Forests with Random Projections of the Output Space for High Dimensional Multi-label Classification.,2014,ECML/PKDD (1)
Mining Generalized Multiple-Level Association Rules.,2000,PKDD
Practical Text Mining.,1998,PKDD
An Adaptive Prequential Learning Framework for Bayesian Network Classifiers.,2006,PKDD
AllAboard: A System for Exploring Urban Mobility and Optimizing Public Transport Using Cellphone Data.,2013,ECML/PKDD (3)
Exploratory Learning.,2013,ECML/PKDD (3)
Discriminative Factor Alignment across Heterogeneous Feature Space.,2012,ECML/PKDD (2)
Aspect Mining with Rating Bias.,2016,ECML/PKDD (2)
Fast Generation of Best Interval Patterns for Nonmonotonic Constraints.,2015,ECML/PKDD (2)
Beyond the Boundaries of SMOTE - A Framework for Manifold-Based Synthetically Oversampling.,2016,ECML/PKDD (1)
The Boolean Column and Column-Row Matrix Decompositions.,2008,ECML/PKDD (1)
Online Clustering of High-Dimensional Trajectories under Concept Drift.,2011,ECML/PKDD (2)
Dealing with Overlapping Clustering: A Constraint-based Approach to Algorithm Selection.,2015,MetaSel@PKDD/ECML
Embracing Uncertainty: Applied Machine Learning Comes of Age.,2011,ECML/PKDD (1)
Discovering Descriptive Tile Trees - By Mining Optimal Geometric Subtiles.,2012,ECML/PKDD (1)
Two-Stage Transfer Surrogate Model for Automatic Hyperparameter Optimization.,2016,ECML/PKDD (1)
The Haar Wavelet Transform in the Time Series Similarity Paradigm.,1999,PKDD
Efficient Planning in Large POMDPs through Policy Graph Based Factorized Approximations.,2010,ECML/PKDD (3)
Non-redundant Subgroup Discovery in Large and Complex Data.,2011,ECML/PKDD (3)
Modeling Short-Term Energy Load with Continuous Conditional Random Fields.,2013,ECML/PKDD (1)
Time and Again: - Time Series Mining via Recurrence Quantification Analysis.,2016,ECML/PKDD (3)
Online Knowledge-Based Support Vector Machines.,2010,ECML/PKDD (2)
A Genetic Algorithm-Based Solution for the Problem of Small Disjuncts.,2000,PKDD
Selective Propositionalization for Relational Learning.,1999,PKDD
Bag-of-Temporal-SIFT-Words for Time Series Classification.,2015,AALTD@PKDD/ECML
A Visualization-Based Exploratory Technique for Classifier Comparison with Respect to Multiple Metrics and Multiple Domains.,2008,ECML/PKDD (2)
Virus Propagation on Time-Varying Networks: Theory and Immunization Algorithms.,2010,ECML/PKDD (3)
MIME: A Framework for Interactive Visual Pattern Mining.,2011,ECML/PKDD (3)
Improved MinMax Cut Graph Clustering with Nonnegative Relaxation.,2010,ECML/PKDD (2)
Interesting Fuzzy Association Rules in Quantitative Databases.,2001,PKDD
Separable Approximate Optimization of Support Vector Machines for Distributed Sensing.,2012,ECML/PKDD (2)
Induction of Multivariate Decision Trees by Using Dipolar Criteria.,2000,PKDD
Active Supervised Domain Adaptation.,2011,ECML/PKDD (3)
Message Scheduling Methods for Belief Propagation.,2015,ECML/PKDD (2)
WebDR: A Web Workbench for Data Reduction.,2014,ECML/PKDD (3)
Mirror Descent for Metric Learning: A Unified Approach.,2012,ECML/PKDD (1)
Towards Data Mining Without Information on Knowledge Structure.,2007,PKDD
"A Connectionist Approach to Structural Simiarity Determination as a Basis of Clustering, Classification and Feature Detection.",1997,PKDD
Expectation Propagation for Rating Players in Sports Competitions.,2007,PKDD
